Portfolio_Disclosure,Control,Control_Name,Theme,Applicable,Implementation_Status,Justification
SIMULATED portfolio exercise; fictional agency and system,5.1,Policies for information security,Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.2,Information security roles and responsibilities,Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.3,Segregation of duties,Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.4,Management responsibilities,Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.5,Contact with authorities,Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.6,Contact with special interest groups,Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.7,Threat intelligence,Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.8,Information security in project management,Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.9,Inventory of information and other associated assets,Organizational,Yes,Partially implemented,Asset inventory is maintained. Three container images were omitted until July 2026 and two database instances were absent from the scan target group. Build pipeline automation to register components automatically is in design. Tracked as POA-010.
SIMULATED portfolio exercise; fictional agency and system,5.10,Acceptable use of information and other associated assets,Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.11,Return of assets,Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.12,Classification of information,Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.13,Labelling of information,Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.14,Information transfer,Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.15,Access control,Organizational,Yes,Implemented,"Role based access control with nine application roles enforced server side, least privilege reviewed quarterly with line by line supervisor attestation retained in RSA Archer."
SIMULATED portfolio exercise; fictional agency and system,5.16,Identity management,Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.17,Authentication information,Organizational,Yes,Implemented,"Minimum 16 characters, screened against a breached password list, no forced rotation. Policy corrected in July 2026 to match the configured behaviour of the identity provider."
SIMULATED portfolio exercise; fictional agency and system,5.18,Access rights,Organizational,Yes,Implemented,Quarterly access review. Reviewer accounts carry an expiry set at creation to panel end plus 14 days.
