Risk_ID,Risk,Threat_Source,Affected_Asset,Likelihood,Impact,Inherent_Score,Inherent_Band,Controls_In_Place,Residual_Likelihood,Residual_Impact,Residual_Score,Residual_Band,Treatment,In_Treatment_Plan
R-01,Compromise of an external reviewer credential exposing applicant PII and unpublished merit scores,"External attacker, credential phishing","Reviewer portal, merit review records",4,4,16,High,Multifactor authentication enforced for all 65 reviewer accounts since 24 July 2026; accounts expire at panel end plus 14 days; session timeout 30 minutes,2,4,8,Low,Modify,No
R-02,Exploitation of an application input handling weakness to read or alter grant records,"External attacker, any member of the public able to start an application","Application tier, grant records",4,5,20,High,Allow list input validation on all 31 fields; context aware output encoding; parameterised queries; monthly authenticated web application scanning; annual penetration test,2,5,10,Moderate,Modify,Yes
R-03,Exploitation of an unremediated software vulnerability in a system component or dependency,External attacker; automated exploitation of a published vulnerability,"All tiers, third party dependencies",4,4,16,High,Weekly authenticated scanning; per build container scanning; service levels of 30 days for Critical and High; monthly patch cycle with an emergency path,3,4,12,Moderate,Modify,Yes
R-04,Misuse of privileged access by an authorised administrator,"Insider, malicious or negligent","Application, database and cloud control plane",3,5,15,Moderate-High,16 privileged accounts across 3 groups; documented approval required; role assumed per task with logged justification; quarterly full population review; session recording on all brokered access,2,5,10,Moderate,Modify,Yes
R-05,Undetected alteration of an award or disbursement record misdirecting federal funds,Insider; external attacker; processing error,"Award records, payment instruction records",3,5,15,Moderate-High,Daily two way reconciliation against the payment service confirmation and the obligation balance; segregation of duties between award approval and disbursement; immutable audit trail,2,4,8,Low,Modify,No
R-06,Compromise of a third party component introduced through the software supply chain,Upstream compromise of a dependency or base image,"Build pipeline, container images, application dependencies",3,4,12,Moderate,"Signed base images; checksum verification in the pipeline; dependency scanning. Supply chain procedure drafted but not approved, and the scanner resolved direct dependencies only until August 2026",3,4,12,Moderate,Modify,Yes
R-07,Extended service unavailability with an unverified recovery capability,Infrastructure failure; regional outage; destructive incident,Whole service,3,4,12,Moderate,Nightly backup with 35 day retention; cross region snapshot replication; multi availability zone deployment; continuity plan documented. The functional restore test has never been performed,3,3,9,Moderate,Modify,Yes
R-08,Cloud misconfiguration exposing a data store to unauthorised access,Human error in configuration change,"Document store, database",3,5,15,Moderate-High,Infrastructure defined as code with peer review; continuous compliance rules evaluating every resource; public access blocked at the account level; data subnet has no internet route,2,3,6,Low,Retain,No
R-09,Compromise of an agency user account through phishing,External attacker,"Agency accounts, application data",4,3,12,Moderate,"PIV card authentication for all 420 agency accounts, which defeats credential replay; annual training with monthly tracking; email filtering; reporting path to the security operations centre",2,3,6,Low,Retain,No
R-10,Mishandling of personal information in breach of the Privacy Act,Process failure; excessive collection or retention,Applicant and reviewer personal information,2,4,8,Low,Privacy impact assessment; collection limited to what the grant process requires; retention schedule enforced; access restricted by role; privacy officer review of any new data element,2,3,6,Low,Retain,No
R-11,Insufficient audit evidence to support an investigation after an incident,Control performed without leaving a record; retention misconfiguration,Audit records across seven log groups,3,3,9,Moderate,Seven log groups with one year online and two years archived; retention corrected March 2026; daily triage evidenced. The weekly correlated review record is still being automated,3,2,6,Low,Modify,No
R-12,Weak key governance over the secondary region copy of system data,Loss of agency control over key policy and key usage visibility,Replicated snapshots in the secondary region,2,4,8,Low,"All data encrypted at rest. Primary region uses a customer managed key with agency controlled policy, rotation and usage logging. Secondary region key created 30 July 2026, re-encryption of existing snapshots pending",2,2,4,Low,Modify,No
